ImprisonRef,ImprisonSystemId,ImprisonID,Trialref,CentralTrialImprison,Imprisondate,Imprisondate_as_date,Prison,Location,Moving,Fate_in_prison,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"IM_LA_54","LA",54,"T_LA_204",0,,,,"Dunkeld",0,,"LEM","06_25_01_10:41:40","jhm","10_11_02_16:15:16"
"IM_LA_55","LA",55,"T_LA_205",0,,,,"Dunkeld",0,,"LEM","06_25_01_10:44:11","jhm","10_11_02_16:14:50"
"IM_LA_56","LA",56,"T_LA_207",0,"6_7_1609","07_06_09_00:00:00",,"Crichton",0,"Rescued","LEM","06_25_01_14:31:51","LEM","06_25_01_14:34:31"
"IM_LA_57","LA",57,"T_LA_207",1,,,"Tolbooth","Edinburgh",0,,"LEM","06_25_01_14:34:11","LEM","06_25_01_14:34:17"
"IM_LA_58","LA",58,"T_LA_207",0,"7_1609","07_01_09_00:00:00","Tolbooth","Musselburgh",1,,"LEM","06_25_01_14:34:23","jhm","10_11_02_15:37:24"
"IM_LA_59","LA",59,"T_LA_220",0,,,"Tolbooth","Perth",0,,"LEM","06_26_01_10:28:25","jhm","10_11_02_16:17:21"
"IM_LA_6","LA",6,"T_LA_37",0,,,"Tolbooth","Edinburgh",0,,"LEM","05_22_01_12:15:08","jhm","10_18_02_10:35:05"
"IM_LA_60","LA",60,"T_LA_221",0,,,"Tolbooth","Perth",0,,"LEM","06_26_01_10:36:48","jhm","10_11_02_16:18:06"
"IM_LA_61","LA",61,"T_LA_231",0,,,"Tolbooth","Dunblane",0,,"LEM","06_26_01_12:52:22","jhm","10_11_02_16:19:33"
"IM_LA_62","LA",62,"T_LA_232",0,,,"Tolbooth","Dunblane",0,,"LEM","06_26_01_15:21:34","jhm","10_11_02_16:20:02"
"IM_LA_63","LA",63,"T_LA_241",0,,,"Tolbooth","Linlithgow",0,,"LEM","06_26_01_16:17:12","jhm","10_11_02_16:23:35"
"IM_LA_64","LA",64,"T_LA_242",0,,,"Tolbooth","Linlithgow",0,,"LEM","06_26_01_16:25:07","jhm","10_11_02_16:25:18"
"IM_LA_65","LA",65,"T_LA_244",0,,,,"Irvine",0,,"LEM","06_27_01_09:47:07","jhm","10_11_02_16:24:09"
"IM_LA_66","LA",66,"T_LA_243",0,,,,"Irvine",0,,"LEM","06_27_01_09:47:20","jhm","10_11_02_16:24:14"
"IM_LA_67","LA",67,"T_LA_245",0,"8_1617","08_01_17_00:00:00","Tolbooth","Stirling",0,,"LEM","06_27_01_09:53:48","jhm","10_11_02_15:36:08"
"IM_LA_68","LA",68,"T_LA_247",0,,,,"Irvine",0,,"LEM","06_27_01_10:03:02","jhm","10_11_02_16:25:35"
"IM_LA_69","LA",69,"T_LA_248",0,,,,"Ayr",0,,"LEM","06_27_01_10:10:58","jhm","10_11_02_16:24:44"
"IM_LA_7","LA",7,"T_LA_40",1,"7_1644","07_01_44_00:00:00","Tolbooth","Edinburgh",0,,"LEM","05_22_01_14:41:08","LEM","10_18_01_13:22:11"
"IM_LA_70","LA",70,"T_LA_249",0,,,,"Ayr",0,,"LEM","06_27_01_10:17:14","jhm","10_11_02_16:25:00"
"IM_LA_71","LA",71,"T_LA_250",0,,,,"Brechin",0,,"LEM","06_27_01_10:28:27","jhm","10_18_02_10:34:44"
"IM_LA_72","LA",72,"T_LA_251",0,,,,"Inverkeithing",0,,"LEM","06_27_01_10:39:10","jhm","10_18_02_10:34:27"
"IM_LA_73","LA",73,"T_LA_252",0,,,,"Crail",0,,"LEM","06_27_01_10:41:05","jhm","10_11_02_16:25:52"
"IM_LA_74","LA",74,"T_LA_253",0,,,,"Inverkeithing",0,,"LEM","06_27_01_11:43:53","LEM","06_27_01_11:43:57"
"IM_LA_75","LA",75,"T_LA_254",0,,,,"Inverkeithing",0,,"LEM","06_27_01_11:46:57","jhm","10_18_02_10:33:52"
"IM_LA_76","LA",76,"T_LA_255",0,,,,"Inverkeithing",0,,"LEM","06_27_01_11:49:34","jhm","10_11_02_16:26:09"
"IM_LA_77","LA",77,"T_LA_256",0,,,,"Inverkeithing",0,,"LEM","06_27_01_11:51:35","jhm","10_11_02_16:26:15"
"IM_LA_78","LA",78,"T_LA_258",0,,,,"Inverkeithing",0,,"LEM","06_27_01_11:56:34","jhm","10_11_02_15:23:24"
"IM_LA_79","LA",79,"T_LA_260",1,,,"Tolbooth","Edinburgh",0,"Released","LEM","06_27_01_12:46:27","jhm","10_18_02_10:33:23"
"IM_LA_80","LA",80,"T_LA_261",1,,,"Tolbooth","Edinburgh",0,,"LEM","06_27_01_14:37:06","LEM","06_27_01_14:37:19"
"IM_LA_81","LA",81,"T_LA_263",0,,,,"Musselburgh",0,,"LEM","06_27_01_16:15:12","jhm","11_05_02_14:19:51"
"IM_LA_82","LA",82,"T_LA_264",0,,,"Tolbooth","Musselburgh",0,,"LEM","06_27_01_16:23:51","jhm","11_05_02_14:42:25"
"IM_LA_83","LA",83,"T_LA_265",0,,,"Tolbooth","Musselburgh",0,,"LEM","06_28_01_09:18:35","jhm","11_05_02_14:26:38"
"IM_LA_84","LA",84,"T_LA_266",0,,,,"Musselburgh",0,,"LEM","06_28_01_09:28:45","jhm","11_05_02_14:16:43"
