PropertyDamageRef,PropertyDamageSystemId,PropertyDamageID,CaseRef,PropertyDamage_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"PD_JO_42","JO",42,"C_EGD_1861","Buildings","jhm","07_31_01_12:45:37","jhm","07_31_01_12:45:39"
"PD_JO_43","JO",43,"C_EGD_1770","Dairy","jhm","08_16_01_09:30:00","jhm","08_16_01_09:30:01"
"PD_JO_44","JO",44,"C_EGD_1770","Animals","jhm","08_16_01_09:57:23","jhm","08_16_01_09:57:24"
"PD_JO_45","JO",45,"C_EGD_1770","Ale","jhm","08_16_01_10:09:55","jhm","08_16_01_10:09:57"
"PD_JO_46","JO",46,"C_EGD_1770","Whole_Estate","jhm","08_16_01_10:10:08","jhm","08_16_01_10:10:09"
"PD_LA_1","LA",1,"C_EGD_160","Ale","LEM","05_17_01_10:57:17","LEM","05_17_01_10:57:18"
"PD_LA_10","LA",10,"C_EGD_162","Crops","LEM","05_18_01_13:05:36","LEM","05_18_01_13:05:36"
"PD_LA_11","LA",11,"C_EGD_166","Crops","LEM","05_21_01_11:37:57","LEM","05_21_01_11:45:53"
"PD_LA_114","LA",114,"C_EGD_110","Boats","LEM","10_10_01_09:22:04","LEM","10_10_01_09:22:04"
"PD_LA_122","LA",122,"C_EGD_147","Boats","LEM","10_10_01_10:13:03","LEM","10_10_01_10:13:04"
"PD_LA_125","LA",125,"C_EGD_104","Boats","LEM","10_16_01_10:15:59","LEM","10_16_01_10:16:00"
"PD_LA_126","LA",126,"C_EGD_104","Animals","LEM","10_16_01_10:16:02","LEM","10_16_01_10:16:05"
"PD_LA_127","LA",127,"C_EGD_1268","Animals","LEM","10_16_01_15:26:18","LEM","10_16_01_15:26:20"
"PD_LA_128","LA",128,"C_EGD_1268","Dairy","LEM","10_16_01_15:26:20","LEM","10_16_01_15:26:24"
"PD_LA_129","LA",129,"C_EGD_1339","Ale","LEM","10_19_01_12:11:43","LEM","10_19_01_12:11:53"
"PD_LA_130","LA",130,"C_EGD_1364","Boats","LEM","10_23_01_13:06:11","LEM","10_23_01_13:06:13"
"PD_LA_131","LA",131,"C_EGD_1364","Animals","LEM","10_23_01_13:06:13","LEM","10_23_01_13:06:16"
"PD_LA_132","LA",132,"C_EGD_963","Crops","LEM","10_23_01_15:29:14","LEM","10_23_01_15:29:14"
"PD_LA_133","LA",133,"C_EGD_963","Ale","LEM","10_23_01_15:29:15","LEM","10_23_01_15:29:16"
"PD_LA_134","LA",134,"C_EGD_963","Animals","LEM","10_23_01_15:29:18","LEM","10_23_01_15:29:24"
"PD_LA_135","LA",135,"C_EGD_964","Crops","LEM","10_23_01_15:51:59","LEM","10_23_01_15:52:00"
"PD_LA_136","LA",136,"C_EGD_964","Animals","LEM","10_23_01_15:52:00","LEM","10_23_01_15:52:02"
"PD_LA_14","LA",14,"C_EGD_183","Whole_Estate","LEM","05_22_01_14:58:28","LEM","05_22_01_14:58:29"
"PD_LA_153","LA",153,"C_EGD_739","Dairy","LEM","02_18_02_14:47:32","LEM","02_18_02_14:47:34"
"PD_LA_154","LA",154,"C_EGD_739","Mill","LEM","02_18_02_14:47:57","LEM","02_18_02_14:47:59"
"PD_LA_157","LA",157,"C_EGD_162","Malt","LEM","05_06_02_20:13:12","LEM","05_06_02_20:13:20"
"PD_LA_16","LA",16,"C_EGD_173","Mill","LEM","06_15_01_12:33:59","LEM","06_15_01_12:34:09"
"PD_LA_17","LA",17,"C_EGD_173","Boats","LEM","06_15_01_12:42:18","LEM","06_15_01_12:49:52"
"PD_LA_172","LA",172,"C_EGD_435","Buildings","LEM","06_06_02_12:56:21","LEM","06_06_02_12:56:31"
"PD_LA_176","LA",176,"C_EGD_434","Meal","LEM","06_13_02_10:03:02","LEM","06_13_02_10:03:13"
"PD_LA_177","LA",177,"C_EGD_963","Meal","LEM","06_17_02_10:36:43","LEM","06_17_02_10:36:47"
"PD_LA_178","LA",178,"C_EGD_963","Buildings","LEM","06_17_02_10:37:16","LEM","06_17_02_10:37:19"
"PD_LA_179","LA",179,"C_EGD_964","Meal","LEM","06_17_02_11:03:50","LEM","06_17_02_11:03:54"
"PD_LA_180","LA",180,"C_LA_3046","Dairy","LEM","06_17_02_15:43:16","LEM","06_17_02_15:43:20"
"PD_LA_181","LA",181,"C_LA_3045","Dairy","LEM","06_17_02_15:44:06","LEM","06_17_02_15:44:09"
"PD_LA_182","LA",182,"C_LA_3041","Dairy","LEM","06_17_02_15:44:44","LEM","06_17_02_15:44:46"
"PD_LA_183","LA",183,"C_LA_3042","Dairy","LEM","06_17_02_15:44:54","LEM","06_17_02_15:44:55"
"PD_LA_184","LA",184,"C_LA_3043","Dairy","LEM","06_17_02_15:45:02","LEM","06_17_02_15:45:04"
"PD_LA_185","LA",185,"C_EGD_2244","Dairy","LEM","06_19_02_11:05:35","LEM","06_19_02_11:05:37"
"PD_LA_186","LA",186,"C_LA_3052","Dairy","LEM","06_19_02_14:15:31","LEM","06_19_02_14:15:32"
"PD_LA_187","LA",187,"C_EGD_2245","Crops","LEM","06_19_02_15:20:56","LEM","06_19_02_15:20:58"
"PD_LA_188","LA",188,"C_EGD_2216","Crops","LEM","06_19_02_16:32:14","LEM","06_19_02_16:32:24"
"PD_LA_189","LA",189,"C_EGD_2214","Crops","LEM","06_20_02_11:49:48","LEM","06_20_02_11:49:50"
"PD_LA_190","LA",190,"C_EGD_2213","Dairy","LEM","06_20_02_11:53:51","LEM","06_20_02_11:53:53"
"PD_LA_197","LA",197,"C_EGD_217","Ale","LEM","07_10_02_10:12:51","LEM","07_10_02_10:12:55"
"PD_LA_198","LA",198,"C_EGD_2410","Ale","LEM","07_10_02_10:23:48","LEM","07_10_02_10:23:50"
"PD_LA_199","LA",199,"C_EGD_213","Aqua_Vitae","LEM","07_10_02_13:38:27","LEM","07_10_02_13:38:35"
"PD_LA_2","LA",2,"C_EGD_160","Animals","LEM","05_17_01_10:57:19","LEM","05_17_01_10:57:21"
