Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date_Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P_ST_1148",1148,"ST","Leuchars","LEU",1148,"Merse","Fife",,,"NO",450,210,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1149",1149,"ST","Lesmahagow","LEW",1149,"Teviotdale","Lanark",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1150",1150,"ST","Lecropt","LEX",1150,"South_of_Forth","Fife_&_Strathearn",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1151",1151,"ST","Lochgoilhead_&_Kilmorich","LGK",1151,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1152",1152,"ST","Largs","LGS",1152,"Teviotdale","Kyle_&_Cunningham",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1153",1153,"ST","Langton","LGT",1153,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1154",1154,"ST","Linlithgow","LGW",1154,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1155",1155,"ST","Lhanbryd","LHX",1155,"Strathspey","Elgin",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1156",1156,"ST","Liff_&_Benvie","LIB",1156,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1157",1157,"ST","Lilliesleaf","LIL",1157,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1158",1158,"ST","Lintrathen","LIN",1158,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1159",1159,"ST","Livingston","LIV",1159,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1160",1160,"ST","Liff","LIX",1160,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1161",1161,"ST","Ladykirk","LKK",1161,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1162",1162,"ST","Lochlee","LLE",1162,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1163",1163,"ST","Lemlair","LLX",1163,"Ross",,,,"NH",576,614,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1164",1164,"ST","Lochmaben","LMB",1164,"Teviotdale","Annadale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
