DenuncRef,DenuncSystemId,DenuncID,Trialref,Denunc_exists,Denuncdate,Denuncdate_as_date,Denunc_text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DN_LA_11","LA",11,"T_LA_306",1,"16_7_1661","07_16_61_00:00:00","4_witches_claimed_to_have_seen_him_at_a_meeting.","LEM","07_10_01_13:59:26","LEM","07_10_01_13:59:44"
"DN_LA_12","LA",12,"T_LA_411",1,"11_7_1661","07_11_61_00:00:00","she_was_denounced_by_Janet_Watsone","LEM","07_16_01_15:36:39","LEM","07_16_01_15:37:03"
"DN_LA_13","LA",13,"T_LA_298",1,"3_7_1661","07_03_61_00:00:00","session_of_Newbattle","LEM","07_17_01_12:05:59","LEM","07_17_01_12:29:56"
"DN_LA_14","LA",14,"T_LA_720",1,,,"denounced_to_presbytery_of_Duns","LEM","08_17_01_14:50:22","jhm","10_02_02_13:03:38"
"DN_LA_15","LA",15,"T_LA_721",1,,,"to_the_Presbytery_of_Duns","LEM","08_17_01_15:01:11","jhm","10_02_02_13:03:26"
"DN_LA_18","LA",18,"T_LA_1025",1,"14_9_1649","09_14_49_00:00:00","Kirk_session_with_a_visiting_minister","LEM","10_19_01_12:16:51","LEM","10_19_01_12:17:28"
"DN_LA_19","LA",19,"T_LA_1025",1,"15_10_1649","10_15_49_00:00:00","presbytery_of_Glasgow","LEM","10_19_01_12:17:28","LEM","10_19_01_12:17:53"
"DN_LA_2","LA",2,"T_LA_38",1,"7_12_1643","12_07_43_00:00:00","investigated_by_magistrates_and_ministers_of_Edinb","LEM","05_22_01_12:23:56","LEM","05_22_01_12:26:48"
"DN_LA_20","LA",20,"T_LA_1025",1,"27_8_1649","08_27_49_00:00:00","kirk_session","LEM","10_19_01_12:29:45","LEM","10_19_01_12:33:50"
"DN_LA_21","LA",21,"T_LA_1088",1,"14_5_1643","05_14_43_00:00:00","depositions_taken_at_the_Kirk_of_Sandwick","LEM","10_23_01_10:12:12","LEM","10_23_01_10:12:28"
"DN_LA_22","LA",22,"T_LA_1089",1,"1644","06_01_44_00:00:00","to_the_Presbytery_of_Lanark","LEM","10_23_01_10:25:27","LEM","10_23_01_10:34:11"
"DN_LA_23","LA",23,"T_LA_1090",1,"1644","06_01_44_00:00:00","Presbytery_of_Lanark","LEM","10_23_01_10:43:05","jhm","10_03_02_13:56:35"
"DN_LA_24","LA",24,"T_LA_1096",1,"26_2_1650","02_26_50_00:00:00","kirk_session_of_Renfrew","LEM","10_23_01_13:08:01","LEM","10_23_01_13:08:40"
"DN_LA_25","LA",25,"T_LA_1102",1,"27_2_1617","02_27_17_00:00:00","kirk_session_of_Stirling","LEM","10_23_01_14:54:40","LEM","10_23_01_14:55:20"
"DN_LA_26","LA",26,"T_LA_1102",1,"19_12_1621","12_19_21_00:00:00","Presbytery_of_Stirling","LEM","10_23_01_14:56:58","LEM","10_23_01_15:01:24"
"DN_LA_27","LA",27,"T_LA_1102",1,"20_12_1621","12_20_21_00:00:00","presbytery_of_stirling","LEM","10_23_01_15:01:24","LEM","10_23_01_15:03:20"
"DN_LA_28","LA",28,"T_LA_10",1,,,"to_Earl_of_Winton,_bailies_of_Musselburgh","LEM","05_06_02_19:57:55","LEM","05_06_02_19:58:41"
"DN_LA_29","LA",29,"T_LA_10",1,"4_7_1629","07_04_29_00:00:00","depositions_taken_at_Liberton_Kirk","LEM","05_06_02_20:12:40","jhm","10_18_02_16:09:55"
"DN_LA_3","LA",3,"T_LA_40",1,"8_7_1644","07_08_44_00:00:00",,"LEM","05_22_01_15:35:25","LEM","05_22_01_15:36:02"
"DN_LA_30","LA",30,"T_LA_602",1,"12_10_1628","10_12_28_00:00:00","Kirk_of_Cramond","LEM","05_07_02_10:03:52","jhm","10_01_02_14:37:20"
"DN_LA_31","LA",31,"T_LA_137",1,"27_7_1627","07_27_27_00:00:00","by_a_confessing_witch_Margaret_Loche","LEM","05_07_02_11:11:00","LEM","05_07_02_11:11:19"
"DN_LA_32","LA",32,"T_LA_139",1,"27_7_1629","07_27_29_00:00:00","by_a_confessing_witch_Margaret_Loche","LEM","05_07_02_11:11:50","jhm","10_02_02_11:49:57"
"DN_LA_33","LA",33,"T_LA_138",1,"27_7_1629","07_27_29_00:00:00","by_a_confessing_witch_Margaret_Loche","LEM","05_07_02_11:13:39","LEM","05_07_02_11:13:58"
"DN_LA_34","LA",34,"T_LA_626",1,"14_3_1629","03_14_29_00:00:00","by_a_confessing_witch_Cristiand_Wilson","LEM","05_07_02_11:49:13","LEM","05_07_02_11:49:40"
"DN_LA_35","LA",35,"T_LA_100",1,"15_7_1629","07_15_29_00:00:00","by_Alexander_Hammilton_in_Haddington","LEM","05_07_02_13:02:14","LEM","05_07_02_13:02:42"
"DN_LA_36","LA",36,"T_LA_99",1,"13_7_1629","07_13_29_00:00:00","by_Alexander_Hammilton_in_Dunce","LEM","05_07_02_13:08:41","LEM","05_07_02_13:24:41"
"DN_LA_37","LA",37,"T_LA_678",1,"13_7_1629","07_13_29_00:00:00","by_Alexander_Hammilton_in_Dunce","LEM","05_07_02_13:23:40","LEM","05_07_02_13:24:05"
"DN_LA_38","LA",38,"T_LA_677",1,"13_7_1629","07_13_29_00:00:00","by_Alexander_Hammilton_in_Duns","LEM","05_07_02_13:24:48","LEM","05_07_02_13:25:06"
"DN_LA_39","LA",39,"T_JO_82",1,"22_9_1629","09_22_29_00:00:00","Alexander_Hammilton","LEM","05_07_02_13:33:38","jhm","10_02_02_12:25:28"
