CommissionRef,CommissionSystemId,CommissionID,Trialref,Commbody,Commtype,Commexists,Commdate,Commdate_as_date,Seal,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CO_LA_613","LA",613,"T_LA_758","Privy_Council","Justiciary",1,"21_4_1630","04_21_30_00:00:00","signet",,"LEM","08_30_01_09:47:22","LEM","08_30_01_09:47:31"
"CO_LA_614","LA",614,"T_LA_759","Privy_Council","Justiciary",1,"21_4_1630","04_21_30_00:00:00","signet",,"LEM","08_30_01_09:48:48","LEM","08_30_01_09:48:55"
"CO_LA_615","LA",615,"T_LA_760","Privy_Council","Justiciary",1,"1_6_1630","06_01_30_00:00:00","signet",,"LEM","08_30_01_10:02:08","LEM","08_30_01_10:02:18"
"CO_LA_616","LA",616,"T_LA_761","Privy_Council","Justiciary",1,"1_6_1630","06_01_30_00:00:00","signet",,"LEM","08_30_01_10:05:47","LEM","08_30_01_10:05:55"
"CO_LA_617","LA",617,"T_LA_762","Privy_Council","Justiciary",1,"1_6_1630","06_01_30_00:00:00","signet",,"LEM","08_30_01_10:06:46","LEM","08_30_01_10:06:54"
"CO_LA_618","LA",618,"T_LA_763","Privy_Council","Justiciary",1,"1_6_1630","06_01_30_00:00:00","signet",,"LEM","08_30_01_10:08:39","LEM","08_30_01_10:08:46"
"CO_LA_619","LA",619,"T_LA_764","Privy_Council","Justiciary",1,"1_6_1630","06_01_30_00:00:00","signet",,"LEM","08_30_01_10:09:54","LEM","08_30_01_10:10:02"
"CO_LA_62","LA",62,"T_LA_84","Privy_Council","Investigation",1,"7_1_1630","01_07_30_00:00:00",,"witnesses_finally_made_to_appear","LEM","06_13_01_09:58:57","LEM","06_13_01_09:59:30"
"CO_LA_620","LA",620,"T_LA_765","Privy_Council","Justiciary",1,"1_6_1630","06_01_30_00:00:00","signet",,"LEM","08_30_01_10:11:49","LEM","08_30_01_10:12:00"
"CO_LA_621","LA",621,"T_LA_766","Privy_Council","Justiciary",1,"8_7_1630","07_08_30_00:00:00","signet",,"LEM","08_30_01_10:19:19","LEM","08_30_01_10:19:32"
"CO_LA_622","LA",622,"T_LA_768","Privy_Council","Justiciary",1,"1_4_1630","04_01_30_00:00:00","signet",,"LEM","08_30_01_11:08:48","LEM","08_30_01_11:09:48"
"CO_LA_623","LA",623,"T_LA_25","Privy_Council","Interrogation_and_Arrest",1,"1_7_1630","07_01_30_00:00:00",,"Arrested_for_questioning_and_to_be_brought_to_the_PC","LEM","09_06_01_12:24:41","jhm","10_21_02_16:35:40"
"CO_LA_624","LA",624,"T_LA_780","Privy_Council","Justiciary",1,"9_8_1639","08_09_39_00:00:00","signet",,"LEM","09_06_01_12:42:03","LEM","09_06_01_12:42:28"
"CO_LA_625","LA",625,"T_LA_781","Privy_Council","Justiciary",1,"9_8_1630","08_09_30_00:00:00","signet",,"LEM","09_06_01_12:47:20","LEM","09_06_01_12:47:39"
"CO_LA_626","LA",626,"T_LA_782","Privy_Council","Justiciary",1,"9_8_1630","08_09_30_00:00:00","signet",,"LEM","09_06_01_12:52:32","LEM","09_06_01_12:53:06"
"CO_LA_627","LA",627,"T_LA_783","Privy_Council","Justiciary",1,"9_8_1630","08_09_30_00:00:00","signet",,"LEM","09_06_01_12:54:07","LEM","09_06_01_12:54:16"
"CO_LA_628","LA",628,"T_LA_784","Privy_Council","Investigation",1,"9_8_1630","08_09_30_00:00:00",,"He_was_ordered_to_be_examined_by_the_PC_because_his_case_was_extraordinary_because_he_was_a_minister_preacher","LEM","09_06_01_13:02:25","jhm","10_03_02_10:56:49"
"CO_LA_629","LA",629,"T_LA_785","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_13:26:06","LEM","09_06_01_13:26:30"
"CO_LA_63","LA",63,"T_LA_84","Privy_Council","Investigation",1,"2_2_1630","02_02_30_00:00:00",,,"LEM","06_13_01_10:26:14","LEM","06_13_01_10:26:42"
