Case_personRef,Case_personID,Case_personSystemId,CaseRef,PersonRef,Involvement,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CP_LA_3410",3410,"LA","C_EGD_1333","JO_691","Investigator",,"LEM","10_19_01_10:23:38","LEM","10_19_01_10:23:42"
"CP_LA_3411",3411,"LA","C_EGD_1333","LA_956","Investigator",,"LEM","10_19_01_10:23:44","LEM","10_19_01_10:24:08"
"CP_LA_3412",3412,"LA","C_EGD_1338","LA_960","Investigator",,"LEM","10_19_01_10:28:06","LEM","10_19_01_10:29:32"
"CP_LA_3413",3413,"LA","C_EGD_1338","LA_961","Investigator",,"LEM","10_19_01_10:29:36","LEM","10_19_01_10:29:55"
"CP_LA_3414",3414,"LA","C_EGD_1338","LA_962","Investigator",,"LEM","10_19_01_10:29:57","LEM","10_19_01_10:30:53"
"CP_LA_3415",3415,"LA","C_EGD_1338","LA_963","Investigator",,"LEM","10_19_01_10:30:56","LEM","10_19_01_10:31:23"
"CP_LA_3416",3416,"LA","C_EGD_1338","JO_108","Investigator",,"LEM","10_19_01_10:31:41","LEM","10_19_01_10:32:13"
"CP_LA_3417",3417,"LA","C_EGD_1339","LA_964","Investigator",,"LEM","10_19_01_10:45:46","jhm","10_03_02_15:25:51"
"CP_LA_3418",3418,"LA","C_EGD_1339","LA_965","Investigator",,"LEM","10_19_01_10:48:02","LEM","10_19_01_10:48:24"
"CP_LA_3419",3419,"LA","C_EGD_1339","LA_966","Investigator",,"LEM","10_19_01_10:48:26","LEM","10_19_01_10:48:38"
"CP_LA_342",342,"LA","C_EGD_849","LA_212","Commissioner",,"LEM","06_25_01_15:10:39","LEM","06_25_01_15:10:57"
"CP_LA_3420",3420,"LA","C_EGD_1340","LA_967","Commissioner",,"LEM","10_19_01_10:56:01","LEM","10_19_01_10:56:29"
"CP_LA_3421",3421,"LA","C_EGD_1340","LA_968","Commissioner",,"LEM","10_19_01_10:56:32","LEM","10_19_01_10:56:56"
"CP_LA_3422",3422,"LA","C_EGD_1340",,"Commissioner","bailies_of_Burntisland","LEM","10_19_01_10:57:01","LEM","10_19_01_10:57:09"
"CP_LA_3423",3423,"LA","C_EGD_1341","LA_967","Commissioner",,"LEM","10_19_01_10:58:24","LEM","10_19_01_10:58:33"
"CP_LA_3424",3424,"LA","C_EGD_1341","LA_968","Commissioner",,"LEM","10_19_01_10:58:35","LEM","10_19_01_10:58:37"
"CP_LA_3425",3425,"LA","C_EGD_1341","LA_969","Commissioner",,"LEM","10_19_01_10:58:46","LEM","10_19_01_10:58:58"
"CP_LA_3426",3426,"LA","C_EGD_1341","LA_970","Commissioner",,"LEM","10_19_01_10:59:01","LEM","10_19_01_10:59:21"
"CP_LA_3427",3427,"LA","C_EGD_1342","LA_967","Commissioner",,"LEM","10_19_01_11:00:51","LEM","10_19_01_11:00:54"
"CP_LA_3428",3428,"LA","C_EGD_1342","LA_968","Commissioner",,"LEM","10_19_01_11:00:57","LEM","10_19_01_11:01:03"
"CP_LA_3429",3429,"LA","C_EGD_1342","LA_969","Commissioner",,"LEM","10_19_01_11:01:04","LEM","10_19_01_11:01:06"
"CP_LA_343",343,"LA","C_EGD_849","LA_213","Commissioner",,"LEM","06_25_01_15:10:59","LEM","06_25_01_15:11:27"
"CP_LA_3430",3430,"LA","C_EGD_1342","LA_970","Commissioner",,"LEM","10_19_01_11:01:07","LEM","10_19_01_11:01:09"
"CP_LA_3431",3431,"LA","C_EGD_1342",,"Commissioner","bailies_of_Burntisland","LEM","10_19_01_11:01:10","LEM","10_19_01_11:01:23"
"CP_LA_3432",3432,"LA","C_EGD_1341",,"Commissioner","bailies_of_burntisland","LEM","10_19_01_11:02:55","LEM","10_19_01_11:03:02"
"CP_LA_3433",3433,"LA","C_EGD_1340","LA_969","Commissioner",,"LEM","10_19_01_11:03:50","LEM","10_19_01_11:03:52"
"CP_LA_3434",3434,"LA","C_EGD_1340","LA_970","Commissioner",,"LEM","10_19_01_11:03:54","LEM","10_19_01_12:07:30"
"CP_LA_3435",3435,"LA","C_EGD_1339","LA_971","Investigator",,"LEM","10_19_01_12:18:50","LEM","10_19_01_12:19:07"
"CP_LA_3436",3436,"LA","C_EGD_1339","LA_972","Investigator",,"LEM","10_19_01_12:19:10","LEM","10_19_01_12:19:29"
"CP_LA_3437",3437,"LA","C_EGD_1339","LA_973","Investigator",,"LEM","10_19_01_12:19:32","LEM","10_19_01_12:20:16"
"CP_LA_3438",3438,"LA","C_LA_2921","LA_974","Commissioner",,"LEM","10_19_01_13:43:04","LEM","10_19_01_13:43:34"
"CP_LA_3439",3439,"LA","C_LA_2921","JO_557","Commissioner",,"LEM","10_19_01_13:43:39","LEM","10_19_01_13:43:50"
"CP_LA_344",344,"LA","C_EGD_849","LA_214","Commissioner",,"LEM","06_25_01_15:12:03","LEM","06_25_01_15:12:52"
"CP_LA_3440",3440,"LA","C_LA_2921","LA_975","Commissioner",,"LEM","10_19_01_13:43:52","LEM","10_19_01_13:44:14"
"CP_LA_3441",3441,"LA","C_LA_2921","LA_976","Commissioner",,"LEM","10_19_01_13:44:17","LEM","10_19_01_13:44:38"
"CP_LA_3442",3442,"LA","C_LA_2921","JO_1431","Commissioner",,"LEM","10_19_01_13:44:41","jhm","11_27_03_12:04:04"
