DevilRef,DevilSystemId,DevilID,CaseRef,Devil_Type,Devil_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DVA_LA_53","LA",53,"C_EGD_384","Animal_Devil","she_tumbled_over_him_on_the_floor","LEM","06_29_01_12:22:41","LEM","06_29_01_12:22:52"
"DVA_LA_54","LA",54,"C_EGD_384","Male","for_sex","LEM","06_29_01_12:22:54","jhm","11_05_02_15:31:08"
"DVA_LA_55","LA",55,"C_EGD_381","Male","a_man_named_William_Twedie","LEM","06_29_01_12:48:39","LEM","11_07_02_16:03:13"
"DVA_LA_56","LA",56,"C_EGD_381","Male","black_man","LEM","06_29_01_12:48:57","LEM","11_07_02_16:03:10"
"DVA_LA_57","LA",57,"C_EGD_381","Male","little_black_man","LEM","06_29_01_12:49:02","LEM","11_07_02_16:03:08"
"DVA_LA_58","LA",58,"C_EGD_381","Fairy","in_a_black_gown","LEM","06_29_01_12:49:10","jhm","11_05_02_15:11:42"
"DVA_LA_59","LA",59,"C_EGD_381","Animal_Devil","rat","LEM","06_29_01_12:49:19","LEM","06_29_01_12:49:22"
"DVA_LA_6","LA",6,"C_EGD_166","Male","black_man_in_black_clothes,_no_cloak_and_a_wand","LEM","05_21_01_11:06:10","jhm","10_21_02_14:58:56"
"DVA_LA_60","LA",60,"C_EGD_382","Male","a_man_in_black_clothes_with_a_black_hat","LEM","06_29_01_13:00:11","jhm","11_05_02_15:17:51"
"DVA_LA_61","LA",61,"C_EGD_385","Male","a_half_long_lad","LEM","06_29_01_13:17:36","jhm","11_05_02_15:34:23"
"DVA_LA_62","LA",62,"C_EGD_385","Animal_Devil","meikle_brown_dog","LEM","06_29_01_13:17:48","LEM","06_29_01_13:17:58"
"DVA_LA_63","LA",63,"C_EGD_390","Male",,"LEM","07_02_01_09:32:41","jhm","11_06_02_12:00:17"
"DVA_LA_64","LA",64,"C_EGD_388","Male",,"LEM","07_02_01_09:44:58","jhm","11_05_02_15:46:25"
"DVA_LA_65","LA",65,"C_EGD_389","Male",,"LEM","07_02_01_09:58:01","jhm","11_05_02_15:48:03"
"DVA_LA_66","LA",66,"C_EGD_391","Male",,"LEM","07_02_01_10:11:22","jhm","11_06_02_12:27:50"
"DVA_LA_67","LA",67,"C_EGD_386","Male","ill_hewed_man","LEM","07_02_01_10:25:47","jhm","11_05_02_15:40:52"
"DVA_LA_68","LA",68,"C_EGD_386","Animal_Devil","Dog","LEM","07_02_01_10:25:58","LEM","07_02_01_10:29:20"
"DVA_LA_69","LA",69,"C_EGD_387","Male","in_the_likeness_of_her_husband","LEM","07_02_01_10:58:10","LEM","10_10_02_16:14:06"
"DVA_LA_7","LA",7,"C_EGD_166","Animal_Devil","Corbie_(Raven)","LEM","05_21_01_11:10:29","LEM","05_21_01_11:11:06"
"DVA_LA_70","LA",70,"C_EGD_398","Male","black_man","LEM","07_02_01_12:16:12","jhm","11_06_02_12:40:16"
"DVA_LA_71","LA",71,"C_EGD_1954","Male","Green_Clothes","LEM","07_02_01_13:16:34","jhm","10_23_02_11:09:23"
"DVA_LA_72","LA",72,"C_EGD_402","Male","a_pleasant_young_man","LEM","07_02_01_13:34:07","jhm","11_06_02_14:04:18"
"DVA_LA_73","LA",73,"C_EGD_402","Male","as_her_husband","LEM","07_02_01_13:35:04","jhm","11_06_02_14:04:17"
"DVA_LA_74","LA",74,"C_EGD_400","Male","young_man","LEM","07_02_01_15:34:29","jhm","11_06_02_12:52:37"
"DVA_LA_75","LA",75,"C_EGD_400","Male","with_cloven_feet_like_an_ox","LEM","07_02_01_15:34:43","jhm","11_06_02_12:52:36"
"DVA_LA_76","LA",76,"C_EGD_434","Male",,"LEM","07_03_01_13:24:49","jhm","10_01_02_09:36:16"
"DVA_LA_77","LA",77,"C_EGD_409","Male","ill_favoured_black_man","LEM","07_04_01_12:52:53","jhm","11_06_02_14:41:42"
"DVA_LA_78","LA",78,"C_EGD_409","Male","Black_clothes","LEM","07_04_01_12:53:05","jhm","11_06_02_14:41:34"
"DVA_LA_79","LA",79,"C_EGD_904","Unspecified_Devil",,"LEM","07_05_01_12:03:10","LEM","07_05_01_12:03:12"
"DVA_LA_8","LA",8,"C_EGD_166","Animal_Devil","cat","LEM","05_21_01_11:11:13","LEM","05_21_01_11:11:15"
"DVA_LA_80","LA",80,"C_EGD_913","Unspecified_Devil",,"LEM","07_05_01_13:09:13","LEM","07_05_01_13:09:14"
"DVA_LA_81","LA",81,"C_EGD_914","Unspecified_Devil",,"LEM","07_05_01_13:20:24","LEM","07_05_01_13:20:25"
"DVA_LA_82","LA",82,"C_EGD_915","Unspecified_Devil",,"LEM","07_05_01_13:21:49","LEM","07_05_01_13:21:51"
"DVA_LA_83","LA",83,"C_EGD_916","Unspecified_Devil",,"LEM","07_05_01_13:24:59","LEM","07_05_01_13:24:59"
"DVA_LA_84","LA",84,"C_EGD_917","Unspecified_Devil",,"LEM","07_05_01_13:25:52","LEM","07_05_01_13:25:54"
"DVA_LA_85","LA",85,"C_EGD_372","Male","in_black_clothes","LEM","07_09_01_10:11:19","jhm","11_05_02_14:24:49"
"DVA_LA_86","LA",86,"C_LA_2798",,,"LEM","07_09_01_12:58:47","LEM","07_09_01_12:58:54"
"DVA_LA_87","LA",87,"C_EGD_392","Male",,"LEM","07_09_01_15:33:53","jhm","11_06_02_12:31:23"
"DVA_LA_88","LA",88,"C_EGD_408","Male","met_him_at_10pm","LEM","07_09_01_16:18:25","jhm","11_06_02_14:31:55"
"DVA_LA_89","LA",89,"C_EGD_407","Animal_Devil","dog","LEM","07_09_01_16:22:24","LEM","07_09_01_16:22:27"
"DVA_LA_9","LA",9,"C_EGD_166","Animal_Devil","dog","LEM","05_21_01_11:11:17","LEM","05_21_01_11:11:20"
"DVA_LA_90","LA",90,"C_EGD_407","Male",,"LEM","07_09_01_16:22:35","jhm","11_06_02_14:18:03"
"DVA_LA_91","LA",91,"C_EGD_359","Male",,"LEM","07_10_01_09:43:04","LEM","11_07_02_15:52:01"
"DVA_LA_92","LA",92,"C_EGD_360","Male",,"LEM","07_10_01_09:58:47","jhm","11_05_02_09:52:31"
"DVA_LA_93","LA",93,"C_EGD_404","Male","as_her_own_husband","LEM","07_10_01_10:04:38","jhm","11_06_02_14:08:59"
"DVA_LA_94","LA",94,"C_EGD_415","Animal_Devil","uncouth_beast","LEM","07_10_01_10:18:09","LEM","07_10_01_10:18:17"
"DVA_LA_95","LA",95,"C_EGD_415","Male",,"LEM","07_10_01_10:18:20","jhm","11_06_02_15:28:43"
"DVA_LA_96","LA",96,"C_EGD_335","Male",,"LEM","07_11_01_10:29:43","jhm","11_05_02_08:30:44"
"DVA_LA_97","LA",97,"C_EGD_411","Male","black_clothes_and_a_bonnet","LEM","07_11_01_12:17:27","jhm","11_06_02_15:03:38"
"DVA_LA_98","LA",98,"C_EGD_380","Animal_Devil","black_dog","LEM","07_16_01_09:47:47","LEM","07_16_01_09:47:53"
"DVA_LA_99","LA",99,"C_EGD_365","Animal_Devil","Black_Dog","LEM","07_16_01_12:59:31","LEM","07_16_01_12:59:38"
