MentionRef,MentionSystemId,MentionID,Trialref,Mentiondate,Mentiondate_as_date,Mentiontype,TrialOfAccusedRef,TrialOfFirstName,TrialOfLastName,MentionedInTrialOfRef,dateOfMentionedTrial,dateOfMentionedTrial_as_date,FateOfMentionedWitch,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MW_LA_324","LA",324,"T_LA_960","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:26:49","LEM","09_09_02_15:24:52"
"MW_LA_325","LA",325,"T_LA_961","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:32:26","LEM","09_09_02_15:24:35"
"MW_LA_326","LA",326,"T_LA_962","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:33:18","LEM","09_09_02_15:24:16"
"MW_LA_327","LA",327,"T_LA_966","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:34:32","LEM","09_09_02_15:19:24"
"MW_LA_328","LA",328,"T_LA_967","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:35:23","LEM","06_14_02_17:14:49"
"MW_LA_329","LA",329,"T_LA_986","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:37:15","LEM","09_09_02_15:19:04"
"MW_LA_330","LA",330,"T_LA_994","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:49:39","LEM","09_09_02_15:44:59"
"MW_LA_331","LA",331,"T_LA_931","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72","27_1_1591","01_27_91_00:00:00","Executed",,"LEM","10_12_01_16:29:36","LEM","09_09_02_15:19:41"
"MW_LA_332","LA",332,"T_LA_996","9_6_1591","06_09_91_00:00:00","Accomplice","A_EGD_93","Ewfame","Makcalzene","T_LA_995",,,,,"LEM","10_16_01_10:23:40","LEM","09_09_02_15:45:12"
"MW_LA_333","LA",333,"T_LA_997","9_6_1591","06_09_91_00:00:00","Accomplice","A_EGD_93","Ewfame","Makcalzene","T_LA_995",,,,,"LEM","10_16_01_10:27:20","LEM","09_09_02_15:45:25"
"MW_LA_334","LA",334,"T_LA_998","9_6_1591","06_09_91_00:00:00","Accomplice","A_EGD_93","Ewfame","Makcalzene","T_LA_995",,,,,"LEM","10_16_01_10:31:16","LEM","09_09_02_15:45:35"
"MW_LA_335","LA",335,"T_LA_929","9_6_1591","06_09_91_00:00:00","Accomplice","A_EGD_93","Ewfame","Makcalzene",,,,,,"LEM","10_16_01_10:36:44","LEM","10_16_01_10:36:55"
"MW_LA_336","LA",336,"T_LA_1000",,,"Hired","A_EGD_1265","George","Fraser","T_LA_1001",,,,,"LEM","10_16_01_13:03:02","LEM","10_16_01_13:03:23"
"MW_LA_337","LA",337,"T_LA_1017",,,"Accomplice","A_EGD_1322","Margaret","Dobson","T_LA_1016",,,,,"LEM","10_19_01_10:08:41","LEM","10_19_01_10:08:54"
"MW_LA_338","LA",338,"T_LA_1019",,,"Accomplice","A_EGD_1322","Margaret","Dobson","T_LA_1016",,,,,"LEM","10_19_01_10:13:28","LEM","10_19_01_10:13:38"
"MW_LA_339","LA",339,"T_LA_1020",,,"Accomplice","A_EGD_1322","Margaret","Dobson","T_LA_1016",,,,,"LEM","10_19_01_10:15:44","LEM","10_19_01_10:15:54"
"MW_LA_340","LA",340,"T_LA_1021",,,"Accomplice","A_EGD_1322","Margaret","Dobson","T_LA_1016",,,,,"LEM","10_19_01_10:19:30","LEM","10_19_01_10:19:40"
"MW_LA_341","LA",341,"T_LA_1022",,,"Denounced","A_EGD_1321","Helen","Tailzear","T_LA_1018",,,,,"LEM","10_19_01_10:24:29","LEM","09_09_02_14:43:22"
"MW_LA_342","LA",342,"T_LA_1024",,,"Accomplice","A_EGD_1326","Margrat","Vaith","T_LA_1023",,,,,"LEM","10_19_01_10:36:43","LEM","10_19_01_10:36:55"
"MW_LA_343","LA",343,"T_LA_1057",,,"Accomplice","A_EGD_1300","Agnes","Clarkson","T_LA_1056",,,,"she_supposedly_brough_Agnes_Clarkson_to_the_Devil","LEM","10_19_01_15:35:25","LEM","10_19_01_15:36:00"
"MW_LA_347","LA",347,"T_LA_1061",,,"Denounced","A_EGD_1300","Agnes","Clarkson","T_LA_1056",,,,,"LEM","10_19_01_15:55:00","LEM","10_19_01_15:55:09"
