WhiteMagicRef,WhiteMagicSystemId,WhiteMagicID,CaseRef,WhiteMagic_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"WM_LA_47","LA",47,"C_EGD_2264","Protective","LEM","06_19_02_11:10:03","LEM","06_19_02_11:10:14"
"WM_LA_48","LA",48,"C_EGD_2212","Divination","LEM","06_19_02_12:08:30","LEM","06_19_02_12:08:31"
"WM_LA_49","LA",49,"C_EGD_2212","Second_Sight","LEM","06_19_02_12:08:32","LEM","06_19_02_12:08:35"
"WM_LA_5","LA",5,"C_EGD_54","Prophesy","LEM","10_08_01_14:51:05","jhm","11_07_01_11:30:36"
"WM_LA_50","LA",50,"C_EGD_2257","Second_Sight","LEM","06_19_02_16:09:39","LEM","06_19_02_16:09:40"
"WM_LA_51","LA",51,"C_EGD_2257","Divination","LEM","06_19_02_16:11:14","LEM","06_19_02_16:11:16"
"WM_LA_52","LA",52,"C_EGD_2255","Protective","LEM","06_19_02_16:18:29","LEM","06_19_02_16:18:32"
"WM_LA_53","LA",53,"C_EGD_2255","Second_Sight","LEM","06_19_02_16:23:37","LEM","06_19_02_16:23:38"
"WM_LA_54","LA",54,"C_EGD_2256","Divination","LEM","06_20_02_12:02:55","LEM","06_20_02_12:02:57"
"WM_LA_58","LA",58,"C_EGD_317","Diagnose_Bewitchment","LEM","07_18_02_09:23:57","LEM","07_18_02_09:24:06"
"WM_LA_6","LA",6,"C_EGD_59","Opening_Lock","LEM","10_09_01_09:40:44","LEM","10_09_01_09:40:50"
"WM_LA_7","LA",7,"C_EGD_59","Astrology","LEM","10_09_01_09:49:16","LEM","10_09_01_09:49:19"
"WM_LA_70","LA",70,"C_EGD_597","Diagnose_Bewitchment","LEM","08_28_02_11:29:24","LEM","08_28_02_11:29:27"
"WM_LA_72","LA",72,"C_LA_3135","Protective","LEM","09_12_02_12:34:05","LEM","09_12_02_12:34:09"
"WM_LA_73","LA",73,"C_EGD_1998","Finding_lost_goods","LEM","09_17_02_14:56:22","LEM","09_17_02_14:56:25"
"WM_LA_76","LA",76,"C_EGD_59","Love_magic","LEM","11_07_02_14:33:55","LEM","11_07_02_14:33:56"
"WM_LA_8","LA",8,"C_EGD_63","Prophesy","LEM","10_09_01_10:31:42","LEM","10_09_01_10:31:44"
"WM_LA_9","LA",9,"C_EGD_103","Love_magic","LEM","10_10_01_13:26:48","LEM","10_10_01_13:26:50"
